frameIndex,frameTime,pcm_fftMag_mfcc[1],pcm_fftMag_mfcc[2],pcm_fftMag_mfcc[3],pcm_fftMag_mfcc[4],pcm_fftMag_mfcc[5],pcm_fftMag_mfcc[6],pcm_fftMag_mfcc[7],pcm_fftMag_mfcc[8],pcm_fftMag_mfcc[9],pcm_fftMag_mfcc[10],pcm_fftMag_mfcc[11],pcm_fftMag_mfcc[12],pcm_LOGenergy
0,0.000000,-1.139918e+01,-9.893508e+00,3.057872e+00,-3.855573e+00,6.035025e+00,-3.472695e+00,-4.369650e+00,-2.515405e+00,5.675058e+00,2.066296e+00,-7.015556e+00,-9.614563e+00,2.199689e+01
1,0.010000,-6.576773e+00,1.116975e+01,1.389851e+01,2.102662e+01,1.124124e+01,5.179403e+00,-1.122987e+01,-8.452515e+00,-3.065216e+00,1.898763e+01,-8.135956e+00,-7.197365e+00,1.894937e+01
2,0.020000,-1.940953e+01,-6.669242e+00,7.238994e+00,3.600159e+00,6.233491e-02,-3.857411e+00,-7.515390e+00,-1.185269e+01,-1.480803e+01,2.088599e+00,-1.086340e+01,-4.392269e+00,1.420740e+01
3,0.030000,-1.388750e+01,-6.518746e+00,6.770266e+00,-6.303111e+00,1.461518e+00,-7.220594e+00,-4.298510e+00,-5.992665e+00,-1.848066e+01,1.668154e+00,-1.168498e+01,7.585092e-01,1.356107e+01
4,0.040000,-8.136729e+00,-1.042922e+01,1.280589e+01,-6.864539e+00,1.053692e+01,-3.416747e+00,-9.798394e+00,-7.774611e+00,-2.023498e+00,7.634069e+00,-1.538792e+01,-5.385958e+00,1.375488e+01
5,0.050000,-7.203122e+00,-2.398730e+01,7.958470e+00,-3.702292e+00,3.960107e+00,-2.571535e+00,-1.423817e+01,-1.561681e+01,-2.024956e+01,5.341231e+00,-4.819532e+00,-6.267297e+00,1.386301e+01
6,0.060000,-3.327813e-01,-1.334952e+01,4.289687e+00,-1.305846e+00,-4.707201e+00,6.061882e+00,-1.305313e+01,-1.041525e+01,-2.564158e+01,-6.302033e+00,-2.691252e+00,-1.290947e+01,1.389038e+01
7,0.070000,3.415753e+00,-1.643260e+01,-4.954082e+00,9.915506e+00,-6.261487e+00,-1.236811e+01,-7.481575e+00,-1.071221e+01,-1.447453e+01,1.206782e+00,-2.201911e+00,-1.272720e+01,1.369059e+01
8,0.080000,-1.481777e+00,-1.159306e+01,-1.427486e+01,6.700967e+00,4.391087e-01,-1.503157e+01,-9.081450e+00,1.949559e-01,-6.386065e+00,-4.560834e-01,-6.125986e+00,-1.094937e+01,1.308957e+01
9,0.090000,-6.006783e+00,-8.474666e+00,-1.173277e+01,1.225277e+01,7.549691e+00,-1.063995e+01,-9.985286e+00,-9.008880e+00,-8.621833e+00,2.124769e-01,-3.025778e+00,-1.526251e+01,1.219268e+01
10,0.100000,-1.221688e+01,-1.416388e+01,-1.202505e+01,3.590860e+00,6.837706e+00,-2.249977e+00,-5.170161e+00,-6.737841e+00,-5.860576e+00,4.790209e+00,-1.197163e+01,-1.366455e+01,1.143857e+01
11,0.110000,-1.477286e+01,-7.814714e+00,-2.906338e+00,7.871255e+00,5.858266e+00,-3.304419e+00,-7.168961e+00,5.820701e-01,9.887357e+00,3.369529e+00,-1.834764e+01,-1.191665e+01,1.055622e+01
12,0.120000,-1.911841e+01,-8.671716e+00,-7.530923e-01,7.541174e+00,2.920267e+00,-5.082693e-01,-6.798329e+00,-1.381523e+00,-5.700956e+00,-8.023331e+00,-2.072950e+01,-1.558171e+01,9.968491e+00
13,0.130000,-2.086268e+01,-5.211668e+00,4.159436e+00,5.536158e+00,-5.171000e+00,6.230229e+00,-1.046831e+01,-1.279250e+01,-9.447204e+00,-3.916892e-01,-1.944268e+01,-1.942799e+01,9.861506e+00
14,0.140000,-1.849728e+01,-9.895173e-01,5.887368e+00,1.050637e+01,1.006400e+00,4.318707e+00,3.159464e+00,-9.876491e+00,-1.126333e+01,-1.164597e+00,-1.877066e+01,-1.497558e+01,9.751080e+00
15,0.150000,-2.385381e+01,-1.094089e+00,7.199936e+00,1.524481e+01,1.153018e+00,-8.687949e+00,-3.603051e+00,-3.712129e+00,-1.509107e+01,9.631628e-01,3.198777e-01,-2.670540e+00,9.608496e+00
16,0.160000,-2.179726e+01,-4.313624e+00,-2.635099e+00,1.133525e+01,5.340310e+00,1.171970e+00,-8.497580e+00,-7.165768e+00,-6.558395e+00,5.810547e+00,-9.155773e+00,-5.975502e+00,9.181066e+00
17,0.170000,-2.265299e+01,-8.674901e+00,-4.079237e-01,8.572594e+00,5.680175e+00,6.614644e+00,5.390615e+00,-4.692891e+00,-1.556553e+01,5.387781e-01,-7.900741e+00,-3.418849e+00,9.244404e+00
18,0.180000,-2.130303e+01,-5.842485e+00,-2.428104e+00,3.143800e+00,1.276928e+00,3.685490e+00,-3.072553e+00,-6.842235e+00,-2.542417e+01,-1.229160e+01,-1.006398e+01,-9.363668e+00,9.390910e+00
