frameIndex,frameTime,pcm_fftMag_mfcc[1],pcm_fftMag_mfcc[2],pcm_fftMag_mfcc[3],pcm_fftMag_mfcc[4],pcm_fftMag_mfcc[5],pcm_fftMag_mfcc[6],pcm_fftMag_mfcc[7],pcm_fftMag_mfcc[8],pcm_fftMag_mfcc[9],pcm_fftMag_mfcc[10],pcm_fftMag_mfcc[11],pcm_fftMag_mfcc[12],pcm_LOGenergy
0,0.000000,-2.233053e+01,-5.230129e+00,-3.180480e+00,-1.053315e+01,8.018676e+00,-1.071985e+01,-9.492424e+00,-1.746504e+01,1.539543e+00,-9.181601e-01,4.204809e+00,1.547663e+01,2.063701e+01
1,0.010000,-1.924412e+01,-1.404739e+00,6.386063e+00,-5.000861e+00,6.960501e+00,-6.739324e+00,4.639286e-01,-1.813188e+01,-2.622745e+00,-4.508203e+00,-5.483818e-01,2.313515e+00,2.084024e+01
2,0.020000,-1.958844e+01,-4.837689e+00,9.481359e+00,7.395738e+00,1.612319e+01,-1.605762e+00,-7.766404e+00,-1.447482e+01,-1.057456e+01,-1.989289e+01,-1.564694e+01,-5.901662e+00,2.093755e+01
3,0.030000,-2.172481e+01,-5.218945e+00,6.165101e+00,7.434204e+00,1.533779e+01,8.814426e-02,-3.761077e+00,-1.175810e+01,-1.293807e+01,1.303224e+00,-2.344826e+00,-8.586352e+00,2.076054e+01
4,0.040000,-2.668670e+01,-1.051999e+01,1.257863e+00,5.209377e+00,5.112816e+00,-1.176909e+01,-1.252499e+01,-2.146674e+01,-5.556858e+00,-2.496237e+00,-4.907276e+00,-1.117169e+00,2.054398e+01
5,0.050000,-2.472268e+01,-7.042020e+00,8.496296e+00,-1.609497e+00,3.221583e+00,-1.288857e+01,-9.638283e+00,-1.142354e+01,3.258995e+00,-5.354627e+00,-1.905301e-01,3.940984e+00,2.068810e+01
6,0.060000,-1.864986e+01,-3.146126e+00,8.673682e+00,5.805699e+00,6.080010e+00,-1.754678e+01,-7.021140e+00,-1.416361e+01,-3.418643e+00,-1.003526e+01,-1.373244e+01,-1.148837e+01,2.133914e+01
7,0.070000,-1.390027e+01,-8.604973e+00,8.122800e+00,3.318455e+00,1.441459e+01,6.734017e+00,-6.722559e+00,-1.609021e+01,6.035532e+00,-9.052108e+00,-1.813854e+01,1.956141e+00,2.220119e+01
8,0.080000,-1.399310e+01,-5.300878e+00,1.367346e+01,-7.547534e+00,2.209059e+01,2.847408e-01,-6.412714e+00,-1.153742e+00,-9.922884e+00,-1.326108e+01,-1.476142e+01,4.125428e-01,2.251537e+01
9,0.090000,-1.844331e+01,-8.590848e+00,1.020085e+01,-1.432726e+01,2.176477e+01,3.102539e+00,-1.363790e+01,-3.882635e+00,-1.314482e+01,-5.533499e+00,5.965133e+00,4.044092e+00,2.248311e+01
